id_municipio,ano,pib
2707701,2017,1018571000
2800100,2017,28365000
2802304,2017,240185000
2807204,2017,121438000
2901908,2017,136532000
2915809,2017,222899000
2917102,2017,221570000
2928109,2017,433652000
3100500,2017,96999000
3102605,2017,872816000
3111804,2017,346698000
3113305,2017,516700000
3118601,2017,28995183000
3124104,2017,676083000
3125804,2017,39131000
3140902,2017,241024000
3143450,2017,60269000
3149200,2017,106528000
3153103,2017,46945000
3154606,2017,3856596000
3155306,2017,81000000
3160603,2017,33654000
3162559,2017,148526000
3165404,2017,97188000
3167400,2017,121074000
3170057,2017,122672000
3170404,2017,2672946000
3201001,2017,255900000
3302809,2017,299499000
3514601,2017,241740000
3521606,2017,86284000
3522158,2017,39835000
3523602,2017,384292000
3525607,2017,183608000
3532058,2017,85742000
3532868,2017,39875000
