id_municipio,sigla_uf,ano,populacao
1400472,RR,2017,28215
1400472,RR,2019,30163
1400472,RR,2022,29932
1400506,RR,2017,7740
1400506,RR,2019,8201
1400506,RR,2022,8011
1400605,RR,2017,7597
1400605,RR,2019,7986
1400605,RR,2022,6192
1400704,RR,2017,9836
1400704,RR,2019,10559
1400704,RR,2022,13764
1500107,PA,2017,153380
1500107,PA,2019,157698
1500107,PA,2022,158042
1500131,PA,2017,7231
1500131,PA,2019,7434
1500131,PA,2022,6119
1500206,PA,2017,54096
1500206,PA,2019,55591
1500206,PA,2022,63268
1500305,PA,2017,38144
1500305,PA,2019,39218
1500305,PA,2022,38020
1500347,PA,2017,26682
1500347,PA,2019,27430
1500347,PA,2022,16672
1500404,PA,2017,55246
1500404,PA,2019,56789
1500404,PA,2022,86096
1500503,PA,2017,33195
1500503,PA,2019,34109
1500503,PA,2022,38843
1500602,PA,2017,111435
1500602,PA,2019,114594
1500602,PA,2022,135067
1500701,PA,2017,28466
1500701,PA,2019,29277
1500701,PA,2022,34065
1500800,PA,2017,516057
1500800,PA,2019,530598
1500800,PA,2022,515745
1500859,PA,2017,27096
1500859,PA,2019,27890
1500859,PA,2022,33566
1500909,PA,2017,44734
1500909,PA,2019,45998
1500909,PA,2022,43691
1500958,PA,2017,30471
1500958,PA,2019,31338
1500958,PA,2022,32772
1501006,PA,2017,15947
1501006,PA,2019,16388
1501006,PA,2022,18343
1501105,PA,2017,29808
1501105,PA,2019,30673
1501105,PA,2022,35265
1501204,PA,2017,46110
1501204,PA,2019,47446
1501204,PA,2022,51844
1501253,PA,2017,3200
1501253,PA,2019,3286
1501253,PA,2022,3730
1501303,PA,2017,121190
1501303,PA,2019,124680
1501303,PA,2022,126733
1501402,PA,2017,1452275
1501402,PA,2019,1492745
1501402,PA,2022,1367336
1501451,PA,2017,17249
1501451,PA,2019,17732
1501451,PA,2022,18060
1501501,PA,2017,60990
1501501,PA,2019,62737
1501501,PA,2022,56152
1501576,PA,2017,16517
1501576,PA,2019,16981
1501576,PA,2022,14511
1501600,PA,2017,15834
1501600,PA,2019,16286
1501600,PA,2022,12892
1501709,PA,2017,124184
1501709,PA,2019,127686
1501709,PA,2022,121793
1501725,PA,2017,14689
1501725,PA,2019,15086
1501725,PA,2022,30214
1501758,PA,2017,7182
1501758,PA,2019,7380
1501758,PA,2022,6791
1501782,PA,2017,64194
1501782,PA,2019,66046
1501782,PA,2022,40157
1501808,PA,2017,99896
1501808,PA,2019,102701
1501808,PA,2022,114628
1501907,PA,2017,28331
1501907,PA,2019,29132
1501907,PA,2022,27049
1501956,PA,2017,32947
1501956,PA,2019,33900
1501956,PA,2022,26510
1502004,PA,2017,23110
1502004,PA,2019,23767
1502004,PA,2022,22950
1502103,PA,2017,134100
1502103,PA,2019,137890
1502103,PA,2022,134734
1502152,PA,2017,36027
1502152,PA,2019,37085
1502152,PA,2022,75433
1502202,PA,2017,67150
1502202,PA,2019,69027
1502202,PA,2022,70321
1502301,PA,2017,52839
1502301,PA,2019,54303
1502301,PA,2022,56331
1502400,PA,2017,195253
1502400,PA,2019,200793
1502400,PA,2022,200003
1502509,PA,2017,23066
1502509,PA,2019,23717
1502509,PA,2022,20630
1502608,PA,2017,11759
1502608,PA,2019,12085
1502608,PA,2022,11923
1502707,PA,2017,46571
1502707,PA,2019,47864
1502707,PA,2022,44765
1502756,PA,2017,32395
1502756,PA,2019,33318
1502756,PA,2022,26869
1502764,PA,2017,13093
1502764,PA,2019,13473
1502764,PA,2022,12397
1502772,PA,2017,17453
1502772,PA,2019,17929
1502772,PA,2022,19929
1502806,PA,2017,33490
1502806,PA,2019,34448
1502806,PA,2022,38060
1502855,PA,2017,13996
1502855,PA,2019,14393
1502855,PA,2022,14126
1502905,PA,2017,38959
1502905,PA,2019,40066
1502905,PA,2022,44493
1502939,PA,2017,58071
1502939,PA,2019,59719
1502939,PA,2022,58444
1502954,PA,2017,32892
1502954,PA,2019,33808
1502954,PA,2022,30264
1503002,PA,2017,7009
1503002,PA,2019,7194
1503002,PA,2022,8728
1503044,PA,2017,19746
1503044,PA,2019,20304
1503044,PA,2022,17896
1503077,PA,2017,25363
1503077,PA,2019,26066
1503077,PA,2022,24716
1503093,PA,2017,39352
1503093,PA,2019,40475
1503093,PA,2022,23806
1503101,PA,2017,32458
1503101,PA,2019,33376
1503101,PA,2022,31945
1503200,PA,2017,37753
1503200,PA,2019,38807
1503200,PA,2022,35788
1503309,PA,2017,60994
1503309,PA,2019,62698
1503309,PA,2022,66369
1503408,PA,2017,11388
1503408,PA,2019,11711
1503408,PA,2022,10334
1503457,PA,2017,62237
1503457,PA,2019,64053
1503457,PA,2022,29116
1503507,PA,2017,31673
1503507,PA,2019,32550
1503507,PA,2022,30627
1503606,PA,2017,98523
1503606,PA,2019,101247
1503606,PA,2022,137170
1503705,PA,2017,51835
1503705,PA,2019,53269
1503705,PA,2022,53873
1503754,PA,2017,8059
1503754,PA,2019,8239
1503754,PA,2022,24742
1503804,PA,2017,57526
1503804,PA,2019,59155
1503804,PA,2022,36184
1503903,PA,2017,56325
1503903,PA,2019,57943
1503903,PA,2022,57837
1504000,PA,2017,28138
1504000,PA,2019,28935
1504000,PA,2022,29617
1504059,PA,2017,29260
1504059,PA,2019,30077
1504059,PA,2022,34566
1504109,PA,2017,8316
1504109,PA,2019,8548
1504109,PA,2022,8090
1504208,PA,2017,271594
1504208,PA,2019,279349
1504208,PA,2022,271321
1504307,PA,2017,28679
1504307,PA,2019,29473
1504307,PA,2022,25929
1504406,PA,2017,27569
1504406,PA,2019,28336
1504406,PA,2022,30867
1504422,PA,2017,127858
1504422,PA,2019,131521
1504422,PA,2022,123890
1504455,PA,2017,30726
1504455,PA,2019,31597
1504455,PA,2022,26438
1504505,PA,2017,26897
1504505,PA,2019,27654
1504505,PA,2022,26770
1504604,PA,2017,30277
1504604,PA,2019,31136
1504604,PA,2022,27265
1504703,PA,2017,79825
1504703,PA,2019,82094
1504703,PA,2022,81364
1504752,PA,2017,15646
1504752,PA,2019,16084
1504752,PA,2022,22845
1504802,PA,2017,56466
1504802,PA,2019,58032
1504802,PA,2022,59890
1504901,PA,2017,39231
1504901,PA,2019,40349
1504901,PA,2022,60117
1504950,PA,2017,20789
1504950,PA,2019,21368
1504950,PA,2022,21132
1504976,PA,2017,16221
1504976,PA,2019,16678
1504976,PA,2022,13318
1505007,PA,2017,14942
1505007,PA,2019,15363
1505007,PA,2022,12737
1505031,PA,2017,25071
1505031,PA,2019,25762
1505031,PA,2022,33636
1505064,PA,2017,73802
1505064,PA,2019,75919
1505064,PA,2022,60438
1505106,PA,2017,50727
1505106,PA,2019,52137
1505106,PA,2022,58121
1505205,PA,2017,31619
