id_municipio,sigla_uf,ano,valor
5006309,MS,2017,26676849.5
5002704,MS,2017,698622484.17
5008305,MS,2017,97066470.66
5007208,MS,2017,44492010.62
5004601,MS,2017,18364993.94
5004502,MS,2017,11025633.49
5001508,MS,2017,8103602.99
5000708,MS,2017,14847216.86
3205002,ES,2017,306176554.52
3200805,ES,2017,25606012.01
3204955,ES,2017,7918147.87
3202256,ES,2017,9571179.98
3200300,ES,2017,11790359.5
3200201,ES,2017,17032509.46
3202702,ES,2017,9892646.8
3201001,ES,2017,10238779.78
3203353,ES,2017,11466849.32
3203320,ES,2017,70623024.41
3200607,ES,2017,98786620.72
3201902,ES,2017,30909634.99
3202108,ES,2017,17026321.98
3200508,ES,2017,6111608.28
3202454,ES,2017,17987873.63
3204500,ES,2017,8716498.32
3202652,ES,2017,10346737.91
3205150,ES,2017,8405167.54
3204351,ES,2017,20091988.32
3201209,ES,2017,99767252.64
3203809,ES,2017,10317380.6
3201605,ES,2017,24595719.55
3203106,ES,2017,7201899.9
3200904,ES,2017,29988501.04
3201803,ES,2017,3408312.68
3203056,ES,2017,26787685.11
2701209,AL,2017,12897414.54
2705101,AL,2017,18862076.14
2700300,AL,2017,104243244.54
2701704,AL,2017,20488908.25
2708303,AL,2017,16911830.73
2704708,AL,2017,41128053.68
2701308,AL,2017,20504157.84
2705408,AL,2017,7080763.6
2705903,AL,2017,6411544.1
2703007,AL,2017,12947731.22
2708709,AL,2017,12593518.12
2702900,AL,2017,39485908.54
2703205,AL,2017,20317136.58
2709004,AL,2017,6196746.47
2707800,AL,2017,9928508.59
2708907,AL,2017,11782239.69
2708006,AL,2017,27775370.36
2706406,AL,2017,18271924.33
2702504,AL,2017,13597576.74
2706109,AL,2017,10796239.43
2706505,AL,2017,14842218.9
2701605,AL,2017,18740488.09
2704609,AL,2017,12086178.72
2703809,AL,2017,18219027.65
2703304,AL,2017,13568648.89
2702355,AL,2017,21906264.61
2709301,AL,2017,46802861.43
2700706,AL,2017,15770729.01
2701407,AL,2017,41620031.35
2702108,AL,2017,16993403.45
2703601,AL,2017,6657897.79
1716208,TO,2017,10188258.06
1715507,TO,2017,2565651.94
1718501,TO,2017,4386269.35
