id_municipio,sigla_uf,ano,populacao
1500859,PA,2017,27096
1500859,PA,2019,27890
1500909,PA,2017,44734
1500909,PA,2019,45998
1500958,PA,2017,30471
1500958,PA,2019,31338
1501006,PA,2017,15947
1501006,PA,2019,16388
1501105,PA,2017,29808
1501105,PA,2019,30673
1501204,PA,2017,46110
1501204,PA,2019,47446
1501253,PA,2017,3200
1501253,PA,2019,3286
1501303,PA,2017,121190
1501303,PA,2019,124680
1501402,PA,2017,1452275
1501402,PA,2019,1492745
1501451,PA,2017,17249
1501451,PA,2019,17732
1501501,PA,2017,60990
1501501,PA,2019,62737
1501576,PA,2017,16517
1501576,PA,2019,16981
1501600,PA,2017,15834
1501600,PA,2019,16286
1501709,PA,2017,124184
1501709,PA,2019,127686
1501725,PA,2017,14689
1501725,PA,2019,15086
1501758,PA,2017,7182
1501758,PA,2019,7380
1501782,PA,2017,64194
1501782,PA,2019,66046
1501808,PA,2017,99896
1501808,PA,2019,102701
1501907,PA,2017,28331
1501907,PA,2019,29132
1501956,PA,2017,32947
1501956,PA,2019,33900
1502004,PA,2017,23110
1502004,PA,2019,23767
1502103,PA,2017,134100
1502103,PA,2019,137890
1502152,PA,2017,36027
1502152,PA,2019,37085
1502202,PA,2017,67150
1502202,PA,2019,69027
1502301,PA,2017,52839
1502301,PA,2019,54303
1502400,PA,2017,195253
1502400,PA,2019,200793
1502509,PA,2017,23066
1502509,PA,2019,23717
1502608,PA,2017,11759
1502608,PA,2019,12085
1502707,PA,2017,46571
1502707,PA,2019,47864
1502756,PA,2017,32395
1502756,PA,2019,33318
1502764,PA,2017,13093
1502764,PA,2019,13473
1502772,PA,2017,17453
1502772,PA,2019,17929
1502806,PA,2017,33490
1502806,PA,2019,34448
1502855,PA,2017,13996
1502855,PA,2019,14393
1502905,PA,2017,38959
1502905,PA,2019,40066
1502939,PA,2017,58071
1502939,PA,2019,59719
1502954,PA,2017,32892
1502954,PA,2019,33808
1503002,PA,2017,7009
