id_municipio,sigla_uf,ano,populacao,nome,pib,gastos_educacao,quantidade_matricula,ideb_iniciais,ideb_finais,taxa_abandono_ef_anos_iniciais,taxa_abandono_ef_anos_finais,pib_per_capita,gasto_por_aluno,DEA_RCOI,DEA_RCOP,DEA_RVOI,DEA_RVOP,DEA_RNDOI,DEA_RNCOI,DEA_scale_efficiency,DEA_returns_nature
3510203,SP,2019,47138,Capão Bonito,948371000,48541528,4874,6.7,5.4,0.0,0.0,20119.03,9959.28,0.3745394288796373,0.3745394288796376,0.6471969574393677,1.0,0.3745394288796371,0.6471969574393677,0.578710119963328,Decrescente
3510302,SP,2019,20706,Capela do Alto,311625000,26702098,2619,6.4,5.3,0.0,0.0,15049.99,10195.53,0.43389573635392764,0.4338957363539092,0.6062410964133461,1.0,0.4338957363539276,0.6062410964133461,0.7157148186108612,Decrescente
3510401,SP,2019,55768,Capivari,2182307000,47695047,4507,6.4,5.4,0.0,0.2,39131.89,10582.44,0.21877732415732032,0.21877732415731416,0.496631962116166,1.0,0.21877732415732018,0.496631962116166,0.44052203814088514,Decrescente
3510500,SP,2019,121532,Caraguatatuba,4037433000,225364717,13077,6.7,5.7,0.0,0.0,33221.15,17233.67,0.22491477745342858,0.22491477745342792,0.37401294757796316,1.0,0.22491477745342855,0.37401294757796316,0.6013555918583406,Decrescente
3510708,SP,2019,12326,Cardoso,257099000,10610971,862,6.6,5.7,0.0,0.0,20858.27,12309.71,0.33771330210448985,0.3377133021044916,0.5164535615727922,1.0,0.3377133021044898,0.5164535615727922,0.6539083612397364,Decrescente
3510906,SP,2019,2523,Cássia dos Coqueiros,178934000,5239901,338,5.1,5.0,0.0,0.0,70921.13,15502.67,0.11466724930353273,0.11466724930353207,0.3531760750154703,1.0,0.11466724930353277,0.3531760750154703,0.32467445394909583,Decrescente
3511102,SP,2019,121862,Catanduva,4365998000,97021633,6275,6.7,5.0,0.0,0.1,35827.39,15461.61,0.21756202900521845,0.21756202900522367,0.34760462480028953,1.0,0.21756202900521845,0.34760462480028953,0.625889339447699,Decrescente
3511300,SP,2019,9237,Cedral,370510000,14199468,1200,6.9,6.5,0.0,0.5,40111.51,11832.89,0.24504177683248413,0.24504177683248388,0.4981525322763043,1.0,0.24504177683248402,0.4981525322763043,0.4919010964628997,Decrescente
3511508,SP,2019,48949,Cerquilho,1935492000,48905642,4272,7.4,6.3,0.0,0.0,39540.99,11447.95,0.24684410006596344,0.24684410006595434,0.6169812686365427,1.0,0.24684410006596305,0.6169812686365427,0.4000836210335208,Decrescente
3511607,SP,2019,18148,Cesário Lange,462470000,22619088,2495,6.4,5.1,0.0,0.0,25483.25,9065.77,0.3118566843556757,0.31185668435567354,0.6817897746925196,1.0,0.31185668435567554,0.6817897746925198,0.4574088611057858,Crescente
