id_municipio,ano,taxa_abandono_ef_anos_iniciais,taxa_abandono_ef_anos_finais
3146008,2019,0.0,
3146255,2019,0.5,
3146503,2019,0.2,
3147600,2019,0.3,
3148806,2019,0.0,
3149101,2019,0.0,
3149150,2019,0.2,
3149606,2019,0.0,
3149705,2019,0.0,
3150000,2019,0.0,
3150109,2019,0.0,
3150406,2019,0.0,
3150505,2019,0.0,
3150539,2019,0.3,
3150703,2019,0.2,
3150802,2019,0.0,
3150901,2019,0.0,
3151305,2019,0.0,
3151602,2019,0.1,
3152600,2019,0.0,
3152907,2019,0.0,
3153004,2019,0.0,
3153103,2019,0.0,
3153806,2019,0.0,
3153905,2019,0.1,
3154457,2019,0.2,
3155009,2019,0.0,
3155801,2019,0.0,
3156502,2019,0.4,
3156809,2019,0.5,
3157500,2019,0.3,
3157609,2019,0.0,
3157708,2019,0.1,
3158300,2019,0.0,
3158805,2019,0.0,
3158953,2019,0.1,
3159357,2019,0.2,
3160306,2019,0.6,
3160405,2019,0.0,
3160504,2019,0.0,
3160801,2019,0.0,
3161205,2019,0.0,
3161809,2019,0.1,
3162203,2019,0.0,
3162302,2019,0.0,
3162948,2019,0.0,
3163003,2019,0.0,0.0
3163102,2019,0.0,
3163201,2019,0.0,
3163607,2019,0.0,
3164001,2019,0.3,
3164100,2019,0.7,
3164308,2019,0.0,
3164803,2019,0.0,
3165206,2019,0.0,
3165537,2019,0.0,
3166204,2019,0.0,
3166303,2019,0.6,
3166501,2019,1.0,
3166808,2019,0.0,
3167103,2019,0.0,
3167806,2019,0.0,
3167905,2019,0.8,
3168507,2019,0.0,
3168903,2019,0.0,
3169208,2019,0.2,
3170008,2019,0.3,
3170438,2019,0.0,
3170503,2019,0.2,
3170578,2019,0.5,
3170602,2019,0.0,
3170750,2019,0.0,
3171154,2019,0.0,
3172202,2019,0.0,
3200201,2019,0.4,
3202256,2019,0.0,
3202900,2019,0.0,
3302452,2019,0.2,
3500402,2019,0.0,
3500550,2019,0.0,
3500758,2019,0.2,0.0
3500808,2019,,
3501103,2019,0.0,
3501400,2019,0.0,
3501509,2019,0.0,
3501905,2019,0.0,
3502408,2019,0.0,
3502606,2019,0.0,
3502705,2019,0.0,
3503406,2019,0.0,
3503703,2019,0.0,
3504107,2019,0.0,
3504206,2019,0.0,
3504305,2019,0.0,
3504701,2019,0.0,
3505005,2019,0.0,
3505401,2019,0.0,
3505807,2019,0.0,
3506201,2019,0.0,
3506300,2019,0.0,
3506359,2019,0.1,
3506409,2019,0.0,
3506805,2019,0.0,
3507100,2019,0.0,
3507159,2019,0.0,
3507605,2019,0.0,
3507704,2019,0.0,
3507753,2019,0.0,
3508306,2019,0.0,
3508405,2019,0.1,
3508702,2019,0.0,
3508801,2019,0.0,
3509908,2019,0.1,
3511409,2019,0.0,
3512506,2019,0.0,
3512605,2019,0.0,
3513306,2019,0.0,
3513850,2019,0.0,
3514502,2019,0.0,
3514809,2019,0.0,
3515186,2019,0.2,
3515350,2019,0.0,
3516002,2019,0.0,
3516101,2019,0.0,
3516200,2019,0.0,
3516309,2019,0.0,
3516606,2019,0.0,
3516705,2019,0.0,
3517000,2019,0.0,
3517208,2019,0.0,
3517307,2019,0.0,
3517406,2019,0.0,
3517802,2019,0.0,
3518008,2019,0.0,
3518107,2019,0.0,
3518305,2019,0.0,
3518909,2019,0.0,
3519204,2019,0.0,
3519501,2019,0.0,
3519709,2019,0.0,
3520509,2019,0.0,
3521150,2019,0.0,
3521408,2019,0.1,
3521507,2019,0.0,
3521705,2019,,
3522158,2019,0.0,
3522208,2019,0.2,
3522307,2019,0.3,
3523701,2019,0.0,
3523800,2019,0.0,
3524006,2019,0.0,
3524402,2019,0.0,
3524501,2019,0.0,
3524808,2019,0.0,
3525805,2019,0.0,
3526001,2019,0.0,
3526100,2019,0.1,
3526704,2019,0.0,
3527108,2019,0.1,
3527256,2019,0.0,
3527306,2019,0.0,
3527702,2019,0.0,
3527900,2019,0.0,
3528007,2019,0.0,
3528106,2019,0.0,
3528205,2019,0.0,
3528304,2019,0.0,
3528502,2019,0.0,
3528601,2019,0.0,
3528700,2019,0.0,0.0
3528908,2019,0.0,
3529609,2019,0.0,
3529807,2019,0.0,
3530003,2019,0.0,
3530201,2019,0.0,
3530300,2019,0.0,
3530409,2019,0.0,
3531001,2019,0.0,
3531605,2019,0.0,
3532108,2019,0.0,
3532405,2019,0.0,
3532504,2019,0.0,
3533007,2019,0.0,
3533106,2019,0.0,
3533304,2019,0.0,
3533403,2019,0.0,
3533700,2019,0.0,
3534609,2019,0.0,
3535101,2019,0.0,
3535200,2019,0.0,
3535309,2019,0.0,
3535903,2019,0.0,
3536307,2019,0.0,
3537107,2019,0.0,
3537156,2019,0.0,
3537206,2019,0.0,
3537305,2019,0.0,
