id_municipio,sigla_uf,ano,quantidade_matricula
2306207,CE,2017,928.0
2308807,CE,2017,1254.0
2309458,CE,2017,3555.0
2309201,CE,2017,2029.0
2313302,CE,2017,7060.0
2305308,CE,2017,3209.0
2300754,CE,2017,6824.0
2302206,CE,2017,7266.0
2305803,CE,2017,4847.0
5208400,GO,2017,955.0
5210562,GO,2017,384.0
5213707,GO,2017,780.0
5212907,GO,2017,69.0
5203104,GO,2017,289.0
5202502,GO,2017,593.0
5215603,GO,2017,4456.0
5200902,GO,2017,109.0
5210158,GO,2017,188.0
5219357,GO,2017,173.0
5221809,GO,2017,170.0
5218391,GO,2017,42.0
5211206,GO,2017,1590.0
5205497,GO,2017,8556.0
5218003,GO,2017,3085.0
5221452,GO,2017,245.0
5216304,GO,2017,621.0
5200308,GO,2017,2398.0
5213905,GO,2017,234.0
5205000,GO,2017,504.0
2902906,BA,2017,5815.0
2933455,BA,2017,1953.0
2925907,BA,2017,4608.0
2932200,BA,2017,2737.0
2931400,BA,2017,1078.0
2921203,BA,2017,3113.0
2921005,BA,2017,7329.0
2907004,BA,2017,1556.0
2930808,BA,2017,2624.0
2911808,BA,2017,3108.0
2906808,BA,2017,6097.0
2908309,BA,2017,1288.0
2916856,BA,2017,2149.0
2908804,BA,2017,735.0
2915502,BA,2017,2405.0
2931905,BA,2017,7281.0
2924603,BA,2017,3034.0
2902005,BA,2017,1925.0
2919405,BA,2017,1424.0
2914653,BA,2017,4793.0
2900900,BA,2017,783.0
2911857,BA,2017,1721.0
2919504,BA,2017,5235.0
2910776,BA,2017,748.0
2907905,BA,2017,2600.0
2922904,BA,2017,4273.0
2906006,BA,2017,9818.0
2924652,BA,2017,1386.0
2929107,BA,2017,2577.0
2920452,BA,2017,2223.0
2922854,BA,2017,1174.0
2903201,BA,2017,17089.0
2700300,AL,2017,23183.0
2708402,AL,2017,6194.0
1304104,AM,2017,2659.0
1304062,AM,2017,9445.0
1302603,AM,2017,168953.0
1303569,AM,2017,4036.0
1200450,AC,2017,1436.0
3203403,ES,2017,1451.0
3204559,ES,2017,2238.0
3201704,ES,2017,1423.0
3201803,ES,2017,206.0
3204302,ES,2017,1637.0
2301851,CE,2017,2731.0
2301802,CE,2017,793.0
2306504,CE,2017,2486.0
2311306,CE,2017,9278.0
2312007,CE,2017,4242.0
2308906,CE,2017,3127.0
2313757,CE,2017,2685.0
2303709,CE,2017,38469.0
2308351,CE,2017,1559.0
5220207,GO,2017,1647.0
5206800,GO,2017,204.0
5219605,GO,2017,264.0
5204953,GO,2017,320.0
5200605,GO,2017,629.0
5221858,GO,2017,16540.0
5201405,GO,2017,30577.0
5203559,GO,2017,632.0
5220264,GO,2017,562.0
5201108,GO,2017,25839.0
5209291,GO,2017,141.0
5214408,GO,2017,377.0
5221601,GO,2017,1709.0
5213004,GO,2017,802.0
5205471,GO,2017,1639.0
2917607,BA,2017,6675.0
2919900,BA,2017,1235.0
2910404,BA,2017,3501.0
2927002,BA,2017,5521.0
2916708,BA,2017,953.0
2926608,BA,2017,7284.0
2932408,BA,2017,1564.0
2907301,BA,2017,3334.0
2911659,BA,2017,1039.0
2916005,BA,2017,2474.0
2913804,BA,2017,1981.0
2925501,BA,2017,4846.0
2909307,BA,2017,5116.0
2910909,BA,2017,926.0
2932309,BA,2017,2173.0
2924058,BA,2017,1749.0
2906907,BA,2017,3438.0
2921302,BA,2017,1711.0
1600238,AP,2017,1151.0
2705101,AL,2017,3494.0
2706307,AL,2017,7098.0
2709103,AL,2017,3305.0
1302702,AM,2017,6682.0
1303502,AM,2017,2728.0
1200054,AC,2017,1089.0
3203601,ES,2017,530.0
3202553,ES,2017,972.0
3203700,ES,2017,1934.0
3203205,ES,2017,15803.0
3201100,ES,2017,608.0
2300150,CE,2017,1917.0
2308302,CE,2017,3088.0
2307007,CE,2017,3302.0
2311900,CE,2017,2444.0
2308203,CE,2017,2107.0
2304608,CE,2017,1300.0
2305704,CE,2017,1478.0
2308609,CE,2017,1871.0
5221007,GO,2017,326.0
5213806,GO,2017,2317.0
5203807,GO,2017,554.0
5208707,GO,2017,66856.0
5212600,GO,2017,155.0
5200555,GO,2017,639.0
5220280,GO,2017,120.0
5203302,GO,2017,1382.0
5219100,GO,2017,434.0
2922300,BA,2017,2779.0
2906105,BA,2017,1645.0
2924504,BA,2017,1922.0
2918100,BA,2017,5995.0
2909505,BA,2017,914.0
2907202,BA,2017,10061.0
2927705,BA,2017,4883.0
2918555,BA,2017,871.0
2911204,BA,2017,3453.0
2918456,BA,2017,1615.0
