id_municipio,sigla_uf,ano,municipio_nome,populacao,pib,gastos_educacao,quantidade_matricula,ideb_iniciais,ideb_finais,taxa_abandono_ef_anos_iniciais,taxa_abandono_ef_anos_finais,pib_per_capita,gasto_por_aluno,flag_populacao_missing,flag_pib_missing,flag_gastos_missing,flag_matriculas_missing,flag_ideb_missing,flag_abandono_missing
1100304,RO,2019,Vilhena,99854,2832738000,73555009,7929,5.6,4.6,0.1,0.3,28368.8,9276.71,0,0,0,0,0,0
1100320,RO,2017,São Miguel do Guaporé,24181,633099000,19044350,2548,5.6,4.7,0.1,0.3,26181.67,7474.23,0,0,0,0,0,0
1100320,RO,2019,São Miguel do Guaporé,23005,616830000,19509945,2377,5.1,4.5,0.1,0.3,26812.87,8207.8,0,0,0,0,0,0
1100338,RO,2017,Nova Mamoré,28891,463144000,18906549,3250,4.6,,0.3,9.5,16030.74,5817.4,0,0,0,0,1,0
1100338,RO,2019,Nova Mamoré,30583,529243000,24838539,2868,4.8,,0.6,5.9,17305.14,8660.58,0,0,0,0,1,0
1100346,RO,2017,Alvorada D'Oeste,16747,252252000,8430946,1447,5.6,4.1,0.1,1.5,15062.52,5826.5,0,0,0,0,0,0
1100346,RO,2019,Alvorada D'Oeste,14411,260403000,10237893,1296,5.1,4.1,0.2,0.2,18069.74,7899.61,0,0,0,0,0,0
1100379,RO,2017,Alto Alegre dos Parecis,14045,328001000,11416572,1806,5.7,4.3,0.8,2.9,23353.58,6321.47,0,0,0,0,0,0
1100379,RO,2019,Alto Alegre dos Parecis,13241,288721000,14714304,1679,5.2,4.1,0.5,2.4,21805.08,8763.73,0,0,0,0,0,0
1100403,RO,2017,Alto Paraíso,20916,307459000,12580951,1994,5.8,,0.6,2.5,14699.7,6309.4,0,0,0,0,1,0
1100403,RO,2019,Alto Paraíso,21428,358407000,15998249,1295,4.5,,0.6,2.8,16726.11,12353.86,0,0,0,0,1,0
1100452,RO,2017,Buritis,39044,649985000,24741162,3775,5.6,,0.4,3.6,16647.5,6553.95,0,0,0,0,1,0
1100452,RO,2019,Buritis,39654,726351000,21399729,2593,5.5,,0.2,,18317.22,8252.88,0,0,0,0,1,1
1100502,RO,2017,Novo Horizonte do Oeste,10051,167453000,5446007,724,5.5,5.0,0.0,0.0,16660.33,7522.11,0,0,0,0,0,0
1100502,RO,2019,Novo Horizonte do Oeste,8538,165527000,7527077,643,6.6,,0.0,,19387.09,11706.19,0,0,0,0,1,1
1100601,RO,2017,Cacaulândia,6460,139924000,5781428,605,5.8,,0.0,0.0,21660.06,9556.08,0,0,0,0,1,0
1100601,RO,2019,Cacaulândia,6230,144465000,6261575,538,5.1,,0.0,0.9,23188.6,11638.62,0,0,0,0,1,0
