id_municipio,sigla_uf,ano,ideb_iniciais,ideb_finais
5203575,GO,2017,5.8,
3523909,SP,2017,6.3,
1720101,TO,2017,,
2205300,PI,2017,3.8,
4210050,SC,2017,5.3,
1300300,AM,2017,4.5,
2102150,MA,2017,3.9,
5107305,MT,2017,6.1,
3542206,SP,2017,7.0,
5103106,MT,2017,5.3,
3120904,MG,2017,6.4,
4322186,RS,2017,6.5,
3128105,MG,2017,6.2,
2912806,BA,2017,5.1,
4303202,RS,2017,6.8,
1707207,TO,2017,4.8,
3144805,MG,2017,6.1,
3547908,SP,2017,7.2,
3157658,MG,2017,5.9,
2110906,MA,2017,4.4,
2513109,PB,2017,,4.1
3157401,MG,2017,,4.4
4300703,RS,2017,,
5211305,GO,2017,6.6,
4210308,SC,2017,6.3,
4313037,RS,2017,6.1,
4315909,RS,2017,,
1100155,RO,2017,5.9,
3110608,MG,2017,6.7,
3106606,MG,2017,5.9,
1300409,AM,2017,4.3,
3120201,MG,2017,6.6,
2912103,BA,2017,4.7,
2601201,PE,2017,5.8,
5220009,GO,2017,4.7,
5206503,GO,2017,,
2603405,PE,2017,,
3100609,MG,2017,,
4320354,RS,2017,,
4200903,SC,2017,,
5102694,MT,2017,4.8,
3158102,MG,2017,5.1,
4109401,PR,2017,6.4,
5211701,GO,2017,6.6,
1702109,TO,2017,5.9,
1712801,TO,2017,4.9,
2512408,PB,2017,4.2,
3146305,MG,2017,5.1,
1400704,RR,2017,4.4,
5205521,GO,2017,5.5,
1714302,TO,2017,5.0,
3124203,MG,2017,6.0,
1717503,TO,2017,5.0,
1716505,TO,2017,6.1,
4321626,RS,2017,7.0,
4318457,RS,2017,,
3542800,SP,2017,,
4316428,RS,2017,,
5100102,MT,2017,,
3106507,MG,2017,,
1707702,TO,2017,,
1303700,AM,2017,3.7,
4313607,RS,2017,5.5,
1100924,RO,2017,5.2,
1100080,RO,2017,5.0,
1704105,TO,2017,4.5,
2207504,PI,2017,3.8,
5003108,MS,2017,5.3,
3144003,MG,2017,6.5,
3305703,RJ,2017,5.2,
1711100,TO,2017,5.1,
3142502,MG,2017,6.3,
1707108,TO,2017,5.6,
4314902,RS,2017,,
2400703,RN,2017,,4.3
3107901,MG,2017,,
3145802,MG,2017,,
3159605,MG,2017,6.6,
3104502,MG,2017,5.7,
3102506,MG,2017,6.4,
4108403,PR,2017,6.4,
4305603,RS,2017,,
3110905,MG,2017,6.1,
3162807,MG,2017,5.9,
5103361,MT,2017,5.9,
5220603,GO,2017,6.1,
3504008,SP,2017,6.7,
3138351,MG,2017,,
4215604,SC,2017,6.8,
3520202,SP,2017,6.4,
3552809,SP,2017,6.8,
1200427,AC,2017,5.8,
3515707,SP,2017,6.1,
3115458,MG,2017,5.3,
1101005,RO,2017,5.5,
5200829,GO,2017,6.0,
4302154,RS,2017,5.2,
4220000,SC,2017,5.1,
5108600,MT,2017,5.1,
4312609,RS,2017,5.0,
4302659,RS,2017,5.4,
1100130,RO,2017,4.9,
3552007,SP,2017,5.5,
5212956,GO,2017,5.2,
2201507,PI,2017,4.0,
3135050,MG,2017,6.0,
3104205,MG,2017,6.9,
4200309,SC,2017,,
5001243,MS,2017,,
4202099,SC,2017,,
4302055,RS,2017,,5.0
5108907,MT,2017,6.3,
1100296,RO,2017,6.8,
3157377,MG,2017,5.1,
5212808,GO,2017,5.8,
5213855,GO,2017,6.0,
1719004,TO,2017,4.0,
2912608,BA,2017,4.0,
3102704,MG,2017,5.9,
4207684,SC,2017,6.4,
3126604,MG,2017,5.7,
3544202,SP,2017,6.7,
5107404,MT,2017,5.6,
3153202,MG,2017,6.3,
2929057,BA,2017,5.4,
4211652,SC,2017,6.4,
4316303,RS,2017,,
3102852,MG,2017,,
5207535,GO,2017,5.5,
5103700,MT,2017,5.4,
3120508,MG,2017,7.0,
5203104,GO,2017,6.0,
4116901,PR,2017,6.3,
1303908,AM,2017,4.0,
5200605,GO,2017,4.9,
3108255,MG,2017,,
5219001,GO,2017,,
4321832,RS,2017,,
4305157,RS,2017,,
3111705,MG,2017,,
4323101,RS,2017,,3.5
5106208,MT,2017,,4.0
4314076,RS,2017,,
4311775,RS,2017,,
2210375,PI,2017,5.3,
5103601,MT,2017,4.9,
3508900,SP,2017,6.5,
3146552,MG,2017,6.0,
1722081,TO,2017,4.7,
5103452,MT,2017,5.0,
4310306,RS,2017,7.6,
1718451,TO,2017,4.8,
4312153,RS,2017,6.8,
1716109,TO,2017,6.3,
1702406,TO,2017,5.1,
2608057,PE,2017,4.8,
3148400,MG,2017,5.1,
4319505,RS,2017,4.9,
3115474,MG,2017,5.9,
3514403,SP,2017,7.0,
2801108,SE,2017,,3.9
3549409,SP,2017,,
3101201,MG,2017,6.5,
5200555,GO,2017,6.6,
1400506,RR,2017,4.1,
4319752,RS,2017,6.1,
1400100,RR,2017,5.8,
1200500,AC,2017,5.9,
3108800,MG,2017,5.2,
1100056,RO,2017,6.0,
5104542,MT,2017,6.5,
4301206,RS,2017,4.9,
1714203,TO,2017,5.6,
1720309,TO,2017,4.5,
3126950,MG,2017,,
3141009,MG,2017,,
3119807,MG,2017,,
3108701,MG,2017,,
3124500,MG,2017,,
4200804,SC,2017,7.4,
3103801,MG,2017,7.7,
1200401,AC,2017,6.5,
4300851,RS,2017,5.0,
3122009,MG,2017,6.2,
5207253,GO,2017,5.5,
2603454,PE,2017,5.0,
1703883,TO,2017,4.2,
4209409,SC,2017,4.6,
5106851,MT,2017,5.5,
3161205,MG,2017,6.5,
4310751,RS,2017,,
3166204,MG,2017,,
3127073,MG,2017,,
3150604,MG,2017,,
1301001,AM,2017,4.0,
5003454,MS,2017,4.3,
2408607,RN,2017,4.1,
2406908,RN,2017,,
3158201,MG,2017,5.4,
4209706,SC,2017,5.3,
5001508,MS,2017,5.9,
3164605,MG,2017,,5.3
4310900,RS,2017,,5.3
3136520,MG,2017,,
5213772,GO,2017,5.4,
3109402,MG,2017,5.4,
5107875,MT,2017,5.7,
3204005,ES,2017,5.7,
5105200,MT,2017,4.8,
3522307,SP,2017,6.4,
1718899,TO,2017,4.3,
1400027,RR,2017,4.5,
4116208,PR,2017,5.5,
5004601,MS,2017,5.2,
3130655,MG,2017,5.7,
5220207,GO,2017,6.4,
1300201,AM,2017,4.4,
3536604,SP,2017,6.4,
4301859,RS,2017,4.4,
3204658,ES,2017,6.0,
1101757,RO,2017,5.6,
3127107,MG,2017,6.5,
4123303,PR,2017,,
4205100,SC,2017,,
4303400,RS,2017,,
4320651,RS,2017,,
1703305,TO,2017,5.5,
5211800,GO,2017,6.6,
2902104,BA,2017,3.5,
5210802,GO,2017,5.9,
1100064,RO,2017,6.4,
4319158,RS,2017,5.6,
1100338,RO,2017,4.6,
3506102,SP,2017,6.6,
3145356,MG,2017,6.2,
2517001,PB,2017,3.7,
2504900,PB,2017,3.4,
3203403,ES,2017,,
3127339,MG,2017,,
4303707,RS,2017,6.7,
3132008,MG,2017,6.7,
4314308,RS,2017,6.1,
3165503,MG,2017,6.2,
5204201,GO,2017,,
5201207,GO,2017,,
4101408,PR,2017,7.5,
5212303,GO,2017,5.2,
5106778,MT,2017,4.7,
4218103,SC,2017,5.8,
2403905,RN,2017,4.5,
1100452,RO,2017,5.6,
4321493,RS,2017,,
4316733,RS,2017,,4.2
1718758,TO,2017,,
1400209,RR,2017,4.4,
5208301,GO,2017,4.9,
5005152,MS,2017,4.4,
5000203,MS,2017,6.3,
4204194,SC,2017,5.9,
2501104,PB,2017,4.2,
2210904,PI,2017,4.2,
1709807,TO,2017,4.5,
5205000,GO,2017,6.2,
3169208,MG,2017,6.4,
5100409,MT,2017,5.6,
1100072,RO,2017,5.7,
2920809,BA,2017,4.8,
3107406,MG,2017,6.4,
3127057,MG,2017,5.8,
3151909,MG,2017,,
4315552,RS,2017,,
4301503,RS,2017,,
4309126,RS,2017,,
3100906,MG,2017,,
4305504,RS,2017,,
1200807,AC,2017,4.8,
1716604,TO,2017,5.0,
4302253,RS,2017,6.5,
5205901,GO,2017,7.3,
4310702,RS,2017,6.2,
1101401,RO,2017,4.7,
5213103,GO,2017,6.5,
3116506,MG,2017,6.2,
2800704,SE,2017,3.3,
3105202,MG,2017,6.4,
5104203,MT,2017,5.4,
3150406,MG,2017,,
4306932,RS,2017,,
4312203,RS,2017,,
