id_municipio,sigla_uf,ano,populacao,nome,pib,gastos_educacao,quantidade_matricula,ideb_iniciais,ideb_finais,taxa_abandono_ef_anos_iniciais,taxa_abandono_ef_anos_finais,pib_per_capita,gasto_por_aluno
1303205,AM,2017,18586,Novo Airão,131745000,12033766,2170,5.3,3.6,3.6,8.8,7088.4,5545.51
1303205,AM,2019,19454,Novo Airão,172501000,14379468,2169,4.4,4.2,2.6,4.5,8867.12,6629.54
1303403,AM,2017,113832,Parintins,1092155000,76978239,11998,5.2,4.2,1.1,3.8,9594.45,6415.92
1303403,AM,2019,114273,Parintins,1225444000,79638476,11596,5.0,4.4,0.7,3.2,10723.83,6867.75
1303536,AM,2017,34574,Presidente Figueiredo,445555000,47887520,5949,5.0,4.5,2.0,5.7,12887.0,8049.68
1303536,AM,2019,36279,Presidente Figueiredo,956464000,53013684,5705,4.8,4.3,2.2,4.6,26364.12,9292.5
1303569,AM,2017,32001,Rio Preto da Eva,384152000,24592147,4036,4.8,4.2,2.7,6.4,12004.37,6093.2
1303569,AM,2019,33347,Rio Preto da Eva,439400000,26610450,3907,4.8,4.6,2.3,3.1,13176.6,6810.97
1303601,AM,2017,23765,Santa Isabel do Rio Negro,122726000,12072040,1381,4.3,3.9,1.9,4.3,5164.15,8741.52
1303601,AM,2019,25156,Santa Isabel do Rio Negro,150012000,11574213,1344,4.4,4.0,2.4,5.3,5963.27,8611.77
1304005,AM,2017,9211,Silves,96376000,9271048,1784,4.0,4.4,0.6,4.5,10463.14,5196.78
1304005,AM,2019,9171,Silves,114106000,10259092,1774,4.4,4.2,0.8,0.9,12442.05,5783.03
1304062,AM,2017,63635,Tabatinga,463248000,40508756,9445,4.1,3.0,3.5,8.1,7279.77,4288.91
1304062,AM,2019,65844,Tabatinga,594242000,62822814,9193,4.4,3.6,2.1,4.6,9025.0,6833.77
1304104,AM,2017,17930,Tapauá,338884000,9571153,2659,3.8,4.1,6.8,8.3,18900.39,3599.53
1304104,AM,2019,17156,Tapauá,192217000,22455630,2903,4.6,3.6,5.6,10.1,11204.07,7735.32
1304203,AM,2017,62021,Tefé,746603000,55930548,9413,4.1,4.2,5.3,7.0,12037.91,5941.84
1304203,AM,2019,59849,Tefé,1021258000,63480767,9304,4.4,4.1,3.8,6.5,17063.91,6822.95
1304237,AM,2017,18782,Tonantins,123847000,19757452,2749,3.3,3.2,3.2,3.9,6593.92,7187.14
1304237,AM,2019,18755,Tonantins,151465000,20475573,3139,4.0,3.6,0.8,1.9,8075.98,6522.96
1304260,AM,2017,13428,Uarini,186574000,16309735,2372,3.3,2.4,5.9,14.1,13894.4,6875.94
1304260,AM,2019,13540,Uarini,196338000,15894291,2400,4.1,4.2,4.0,6.8,14500.59,6622.62
1304302,AM,2017,16968,Urucará,298331000,15555735,2272,5.1,4.5,0.9,0.9,17581.98,6846.71
1304302,AM,2019,16256,Urucará,302863000,15973704,2089,5.0,4.3,0.4,2.4,18630.84,7646.58
1304401,AM,2017,22148,Urucurituba,143101000,13481455,1813,3.6,3.5,2.5,11.2,6461.13,7435.99
1304401,AM,2019,23065,Urucurituba,179336000,18491554,1897,4.4,3.7,1.8,6.3,7775.24,9747.79
1400159,RR,2017,11945,Bonfim,266844000,15654923,1928,4.5,4.4,1.3,2.6,22339.39,8119.77
1400159,RR,2019,12409,Bonfim,315224000,17156242,2236,4.4,4.5,1.3,2.6,25402.85,7672.74
1500131,PA,2017,7231,Abel Figueiredo,80633000,7766985,1282,5.1,3.6,0.8,4.4,11151.02,6058.49
1500131,PA,2019,7434,Abel Figueiredo,84902000,7998106,1235,5.1,3.9,0.4,6.1,11420.77,6476.2
1500206,PA,2017,54096,Acará,932175000,73029875,13263,3.7,3.3,4.5,9.7,17231.87,5506.29
1500206,PA,2019,55591,Acará,755091000,88267932,13154,3.8,3.3,4.6,10.4,13582.97,6710.35
1500305,PA,2017,38144,Afuá,358271000,49046328,11407,3.3,2.7,6.9,14.7,9392.59,4299.67
1500305,PA,2019,39218,Afuá,368873000,64163480,11095,3.5,3.1,2.8,9.7,9405.71,5783.1
1500347,PA,2017,26682,Água Azul do Norte,443365000,16427614,2103,3.5,3.4,1.0,3.9,16616.63,7811.51
1500347,PA,2019,27430,Água Azul do Norte,433939000,16949939,2044,4.0,3.9,1.2,3.1,15819.87,8292.53
1500404,PA,2017,55246,Alenquer,609255000,51956481,11120,4.0,3.4,2.1,8.7,11028.04,4672.35
1500404,PA,2019,56789,Alenquer,573058000,49907601,10079,4.2,3.4,2.7,10.6,10091.0,4951.64
1500503,PA,2017,33195,Almeirim,666123000,37182801,7956,3.6,2.5,9.8,23.0,20066.97,4673.55
1500503,PA,2019,34109,Almeirim,543380000,48249487,7328,3.6,3.2,7.9,15.0,15930.69,6584.26
1500602,PA,2017,111435,Altamira,2501060000,105941946,19263,5.5,4.8,1.1,1.2,22444.12,5499.76
1500602,PA,2019,114594,Altamira,2776406000,116868157,19658,5.7,4.8,0.5,0.7,24228.2,5945.07
1500701,PA,2017,28466,Anajás,204751000,38418489,8438,3.3,3.0,4.5,9.5,7192.83,4553.03
1500701,PA,2019,29277,Anajás,213400000,42884606,8166,3.4,3.3,3.1,7.9,7289.0,5251.6
1500800,PA,2017,516057,Ananindeua,6980443000,136131618,27442,5.2,4.8,1.2,0.9,13526.5,4960.7
1500800,PA,2019,530598,Ananindeua,8163540000,168830244,26005,5.5,5.0,0.9,0.6,15385.55,6492.22
1500859,PA,2017,27096,Anapu,351211000,29337371,6682,4.2,3.3,3.4,7.9,12961.73,4390.51
1500859,PA,2019,27890,Anapu,415241000,34120717,6881,4.2,3.8,2.0,6.3,14888.53,4958.69
1500958,PA,2017,30471,Aurora do Pará,277394000,26536966,4949,4.6,4.4,1.1,2.5,9103.54,5362.09
1500958,PA,2019,31338,Aurora do Pará,220672000,30255374,4418,4.8,4.5,0.9,1.8,7041.67,6848.21
1501006,PA,2017,15947,Aveiro,144716000,15191834,3044,3.6,3.2,3.4,11.9,9074.81,4990.75
1501006,PA,2019,16388,Aveiro,123024000,16166891,2820,4.4,3.7,1.7,7.7,7506.96,5732.94
1501105,PA,2017,29808,Bagre,176250000,25193651,5502,3.9,3.4,5.3,14.1,5912.84,4579.0
1501105,PA,2019,30673,Bagre,203160000,30275848,5456,3.7,4.0,5.0,10.2,6623.41,5549.09
1501253,PA,2017,3200,Bannach,76465000,4981203,680,4.0,4.0,4.5,9.2,23895.31,7325.3
1501253,PA,2019,3286,Bannach,80972000,5688601,682,4.5,3.8,3.9,7.0,24641.51,8341.06
