city_id,state,year,population,city_name,gdp,education_spending,enrollments,ideb_initial_years,ideb_final_years,dropout_rates_initial_years,dropout_rates_final_years,gdp_per_capita,spending_per_student,educ_pct_gdp,is_complete_grouped,DEA_crs_input,DEA_crs_output,DEA_vrs_input,DEA_vrs_output,DEA_irs_input,DEA_drs_input,DEA_scale_efficiency,DEA_returns_nature,rank_vrs,pct_var_vrs,pct_var_scale,category_vrs,category_scale,delta_vrs_median,delta_scale_median,state_avg_vrs,state_avg_scale,peer_group
2202026,PI,2017,8108,Buriti dos Montes,51318000,8013780,1025,6.6,5.9,0.0,0.0,6329.3,7818.32,15.62,True,0.8748930899220212,0.8748930899220346,1.0,1.0,0.8748930899220219,1.0,0.8748930899220212,Decreasing,26,,,Efficient,Efficient,0.4496316532139454,-0.001215271763907344,0.6932881184607074,0.9051242737320218,Medium
2111029,MA,2017,15450,São João do Carú,85452000,19107438,3464,4.4,3.7,0.0,0.0,5530.87,5516.0,22.36,True,0.8684737879488772,0.8684737879488853,1.0,1.0,0.8684737879488766,1.0,0.8684737879488772,Decreasing,27,,,Efficient,Efficient,0.4496316532139454,-0.007634573737051342,0.7365375875316906,0.9225552417346308,Large
2308351,CE,2017,13136,Milhã,126516000,10911614,1559,8.4,6.6,0.0,0.2,9631.24,6999.11,8.62,True,0.8444129988237906,0.8444129988234943,1.0,1.0,0.8444129988237914,1.0,0.8444129988237906,Decreasing,28,,,Efficient,Moderate,0.4496316532139454,-0.03169536286213792,0.7809535445944192,0.8674044749881739,Large
2103802,MA,2017,22912,Dom Pedro,223561000,2852015,3261,4.8,3.8,1.8,5.8,9757.38,874.58,1.28,True,0.8327049354480971,0.8327049354480979,1.0,1.0,0.8327049354480596,1.0,0.8327049354480971,Decreasing,29,,,Efficient,Moderate,0.4496316532139454,-0.043403426237831444,0.7365375875316906,0.9225552417346308,Large
2210409,PI,2017,17395,São Miguel do Tapuio,121266000,14242353,2543,5.9,4.6,0.1,0.0,6971.31,5600.61,11.74,True,0.829139587594234,0.8291395875942241,1.0,1.0,0.8291395875942346,1.0,0.829139587594234,Decreasing,30,,,Efficient,Moderate,0.4496316532139454,-0.04696877409169453,0.6932881184607074,0.9051242737320218,Large
2100709,MA,2017,27352,Anajatuba,176950000,20394616,4145,4.4,3.9,0.0,0.1,6469.36,4920.29,11.53,True,0.8160832509053383,0.8160832509053382,1.0,1.0,0.8160832509053382,1.0,0.8160832509053383,Decreasing,31,,,Efficient,Moderate,0.4496316532139454,-0.06002511078059025,0.7365375875316906,0.9225552417346308,Mega
2304608,CE,2017,6922,General Sampaio,53075000,7667997,1300,5.7,5.2,0.0,0.2,7667.58,5898.46,14.45,True,0.7878212661254769,0.7878212661254953,1.0,1.0,0.7878212661254769,1.0,0.7878212661254769,Decreasing,32,,,Efficient,Moderate,0.4496316532139454,-0.08828709556045167,0.7809535445944192,0.8674044749881739,Medium
2309201,CE,2017,15433,Nova Olinda,141025000,12023265,2029,7.0,5.4,0.0,0.1,9137.89,5925.71,8.53,True,0.7718264519095328,0.7718264519095772,1.0,1.0,0.7718264519095324,1.0,0.7718264519095328,Decreasing,33,,,Efficient,Moderate,0.4496316532139454,-0.10428190977639573,0.7809535445944192,0.8674044749881739,Large
2307254,CE,2017,19510,Jijoca de Jericoacoara,310187000,19802419,3206,8.2,6.7,0.0,0.5,15898.87,6176.67,6.38,True,0.6335850198093032,0.6335850198091878,1.0,1.0,0.6335850198093078,1.0,0.6335850198093032,Decreasing,34,,,Efficient,Moderate,0.4496316532139454,-0.2425233418766254,0.7809535445944192,0.8674044749881739,Large
2205201,PI,2017,18782,Jaicós,160113000,13091998,2585,3.7,3.2,0.0,0.0,8524.81,5064.6,8.18,True,0.6314144976246945,0.6314144976247341,1.0,1.0,0.6314144976246945,1.0,0.6314144976246945,Decreasing,35,,,Efficient,Moderate,0.4496316532139454,-0.24469386406123406,0.6932881184607074,0.9051242737320218,Large
3141108,MG,2017,37344,Matozinhos,1003673000,943489,2020,6.4,3.7,0.0,0.5,26876.42,467.07,0.09,True,0.5820961176147007,0.5820961176148391,1.0,1.0,0.5820961176147008,1.0,0.5820961176147007,Decreasing,36,,,Efficient,Moderate,0.4496316532139454,-0.29401224407122784,0.5298338762762453,0.7526304263708876,Mega
3554409,SP,2017,9227,Terra Roxa,149621000,6797092,965,6.7,6.6,0.0,0.0,16215.56,7043.62,4.54,True,0.5702450714021656,0.5702450714021811,1.0,1.0,0.5702450714021773,1.0,0.5702450714021656,Decreasing,37,,,Efficient,Moderate,0.4496316532139454,-0.3058632902837629,0.4636158663676521,0.616205789498925,Medium
2312908,CE,2017,205529,Sobral,4456661000,142274817,21551,9.1,7.2,0.0,0.1,21683.85,6601.77,3.19,True,0.5543204380490249,0.5543204380490914,1.0,1.0,0.5543204380507432,1.0,0.5543204380490249,Decreasing,38,,,Efficient,Moderate,0.4496316532139454,-0.32178792363690367,0.7809535445944192,0.8674044749881739,Mega
3102001,MG,2017,14551,Alterosa,218667000,8850588,984,7.0,6.5,0.0,0.0,15027.63,8994.5,4.05,True,0.5504077898410323,0.5504077898410655,1.0,1.0,0.5504077898410474,1.0,0.5504077898410323,Decreasing,39,,,Efficient,Moderate,0.4496316532139454,-0.3257005718448962,0.5298338762762453,0.7526304263708876,Large
5106653,MT,2017,6387,Pontal do Araguaia,85707000,1752128,378,5.3,4.9,0.0,0.0,13418.98,4635.26,2.04,True,0.5412142131408195,0.5412142131408241,1.0,1.0,0.5412142131408206,1.0,0.5412142131408195,Decreasing,40,,,Efficient,Moderate,0.4496316532139454,-0.334894148545109,0.4196386760155334,0.6027838467908055,Medium
4210035,SC,2017,5705,Luzerna,158733000,6069737,479,7.7,6.4,0.0,0.0,27823.49,12671.68,3.82,True,0.32537803870359683,0.3253780387035869,1.0,1.0,0.32537803870359633,1.0,0.32537803870359683,Decreasing,41,,,Efficient,Inefficient,0.4496316532139454,-0.5507303229823317,0.4051222249794405,0.6273611558113212,Medium
3500600,SP,2017,3268,Águas de São Pedro,132809000,5201027,431,7.4,6.6,0.0,0.0,40639.23,12067.35,3.92,True,0.24855266418515054,0.24855266418513522,1.0,1.0,0.24855266418515418,1.0,0.24855266418515054,Decreasing,42,,,Efficient,Inefficient,0.4496316532139454,-0.627555697500778,0.4636158663676521,0.616205789498925,Small
3522703,SP,2017,42747,Itápolis,1363657000,27570012,821,8.0,6.4,0.0,0.0,31900.65,33581.01,2.02,True,0.20716034680731416,0.20716034680730847,1.0,1.0,0.20716034680731366,1.0,0.20716034680731416,Decreasing,43,,,Efficient,Inefficient,0.4496316532139454,-0.6689480148786144,0.4636158663676521,0.616205789498925,Mega
4314423,RS,2017,5595,Picada Café,296148000,7014124,407,8.0,6.4,0.0,0.0,52930.83,17233.72,2.37,True,0.19591536620398234,0.19591536620396843,1.0,1.0,0.1959153662039828,1.0,0.19591536620398234,Decreasing,44,,,Efficient,Inefficient,0.4496316532139454,-0.6801929954819462,0.342728303837413,0.6717687909244753,Medium
2107209,MA,2017,14489,Nina Rodrigues,64827000,13523562,2576,4.5,3.6,0.7,2.7,4474.22,5249.83,20.86,True,0.9921292594161972,0.9921292594161986,0.999644296556103,0.9999582239051039,0.9921292594161982,0.999644296556103,0.9924822887843247,Decreasing,45,,,Efficient,Efficient,0.44927594977004837,0.11637392709839611,0.7365375875316906,0.9225552417346308,Large
2313351,CE,2017,18902,Tejuçuoca,110241000,15871751,2775,5.2,5.0,0.7,1.0,5832.24,5719.55,14.4,True,0.936780324052526,0.9367803240525269,0.993088910597363,0.9984491285772323,0.9367803240525264,0.9930889105973634,0.9432995515870112,Increasing,46,,,Efficient,Efficient,0.4427205638113084,0.06719118990108264,0.7809535445944192,0.8674044749881739,Large
3552601,SP,2017,12251,Tabapuã,241821000,11405387,1151,7.9,6.0,0.0,0.0,19738.88,9909.11,4.72,True,0.4483027961469642,0.44830279614694035,0.9916530092012231,1.0,0.44830279614696517,0.9916530092012237,0.45207627263499384,Increasing,47,,,Efficient,Moderate,0.4412846624151685,-0.4240320890509347,0.4636158663676521,0.616205789498925,Large
2923035,BA,2017,12514,Novo Horizonte,75733000,8630415,1500,6.4,5.1,0.5,0.9,6051.86,5753.61,11.4,True,0.9404095228655804,0.9404095228655825,0.9916376839142107,0.997820527934633,0.9404095228655803,0.9916376839142108,0.9483398403674803,Increasing,48,,,Efficient,Efficient,0.4412693371281561,0.07223147868155178,0.6097700253759094,0.9545472888326227,Large
2202604,PI,2017,19410,Castelo do Piauí,159381000,18431857,2791,7.3,5.4,0.0,0.0,8211.28,6604.03,11.56,True,0.8083721413829128,0.8083721413829184,0.9813604246085998,1.0,0.8083721413829117,0.9813604246085994,0.82372604510246,Increasing,49,,,Efficient,Moderate,0.4309920778225452,-0.05238231658346859,0.6932881184607074,0.9051242737320218,Large
2307908,CE,2017,11082,Martinópole,77394000,11849717,1884,7.3,5.8,0.0,0.7,6983.76,6289.66,15.31,True,0.9273217230843314,0.9273217230843309,0.9791047901220713,1.0,0.9273217230843319,0.9791047901220721,0.9471118234124012,Increasing,50,,,Efficient,Efficient,0.4287364433360167,0.07100346172647265,0.7809535445944192,0.8674044749881739,Medium
2708956,AL,2017,14036,Senador Rui Palmeira,82293000,14609315,2745,4.7,4.3,0.1,0.9,5863.0,5322.15,17.75,True,0.8909785179930572,0.8909785179930418,0.9789508764677696,0.9992384788173031,0.8909785179930579,0.9789508764677698,0.9101360848747259,Increasing,51,,,Efficient,Efficient,0.42858252968171495,0.03402772318879732,0.5964684976240416,0.9053265740831365,Large
