index,year,population,gdp,education_spending,enrollments,ideb_initial_years,ideb_final_years,dropout_rates_initial_years,dropout_rates_final_years,gdp_per_capita,spending_per_student,educ_pct_gdp,DEA_crs_input,DEA_crs_output,DEA_vrs_input,DEA_vrs_output,DEA_irs_input,DEA_drs_input,DEA_scale_efficiency,rank_vrs,pct_var_vrs,pct_var_scale,delta_vrs_median,delta_scale_median,state_avg_vrs,state_avg_scale,is_complete_grouped
rank_vrs,2017,0.130625213643392,0.1217011681029275,0.11937602864739799,0.11804729947647816,0.1088311932654255,0.05940847241689533,-0.01818257919549365,-0.05426292511648881,0.5346003965194331,0.598778031886212,-0.6842708759080209,-0.8929052962714221,-0.8929052940766325,-0.9897657971925282,0.004555506777631991,-0.8920588703213189,-0.9895661252444078,-0.363190423664635,1.0,,,-0.989765797192528,-0.36319042366463516,-0.6540857491656051,-0.48178793179184093,
pct_var_vrs,2017,,,,,,,,,,,,,,,,,,,,,,,,,,
pct_var_scale,2017,,,,,,,,,,,,,,,,,,,,,,,,,,
delta_vrs_median,2017,-0.1324061735623147,-0.12774288904028425,-0.12460408092363272,-0.11759992167775156,-0.07892773723363866,-0.03078061477809154,-0.0007449357260255179,0.03318842590251537,-0.5561615117126308,-0.6015774267694141,0.6685224779558652,0.8908529384768713,0.8908528930757128,1.0000000000000002,0.017127198333733575,0.8899044400821218,0.9999190337539076,0.3472531372412511,-0.989765797192528,,,1.0,0.3472531372412512,0.6407058172586634,0.4601010601028026,
delta_scale_median,2017,-0.05936545304852703,-0.0778280251254348,-0.06365226330026566,-0.06533692202257735,-0.5851117735375307,-0.6038592545051921,0.5442459941574388,0.6007110983984084,-0.67320470323644,-0.4380325085975345,0.668476450178802,0.7088728484298749,0.7088729425402902,0.3472531372412516,-0.5520431443224345,0.7104333471653689,0.34449583779284537,1.0000000000000002,-0.36319042366463516,,,0.3472531372412512,1.0,0.5110712794760659,0.7116835195315027,
state_avg_vrs,2017,-0.04866598801948027,-0.0628664802414964,-0.04838490704247651,-0.013915906025016276,-0.29917810559406516,-0.27211845550632413,0.22053293168528948,0.2627123037170652,-0.41607268001958186,-0.5822273484950727,0.6193036978334387,0.7158925956425288,0.7158925767214185,0.6407058172586634,-0.22325389150097466,0.7156996270201622,0.639960063560318,0.5110712794760655,-0.6540857491656051,,,0.6407058172586634,0.5110712794760659,1.0,0.7181159398105762,
state_avg_scale,2017,-0.0693772032105242,-0.08639311166423103,-0.07531871461565251,-0.030590428012358922,-0.6423809307341152,-0.6148571899559373,0.5372110716210011,0.5809298440534485,-0.46882451488103205,-0.6267123974491783,0.6317183921838226,0.6620379663421101,0.6620381364492507,0.46010106010280316,-0.5368190881294569,0.6637042870793235,0.4573452230277096,0.711683519531503,-0.48178793179184093,,,0.4601010601028026,0.7116835195315027,0.7181159398105762,1.0,
count,2019,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,2891.0,
mean,2019,53906.05672777585,1859664442.7533724,43280244.218609475,4214.8758215150465,5.441992390176409,4.478830854375648,0.7285022483569699,2.6297820823244553,23277.498706329985,10013.188602559669,7.460062262193013,0.4271229733777653,0.42721865750424654,0.5205659928340705,0.992998138391354,0.4283115606948829,0.519362408174282,0.8063335930682602,1446.0,-0.0531796699359246,-0.006976509811896867,0.00023217396528381074,-0.03623904799755205,0.5205659928340705,0.8063335930682602,
std,2019,295512.75534611504,16530793204.366798,249957209.0067228,13934.637943437147,0.9665946581479041,0.807783170118424,1.015811233372694,2.764110434170068,28659.89148347788,4332.003336050019,5.006742650510451,0.19649096137875857,0.1967025154505409,0.19025845035113226,0.009889602060532363,0.19726745088355493,0.18999510143231113,0.18842298480905287,834.7041392014298,0.20389773200847358,0.17763918049902194,0.19025845035113226,0.18842298480905287,0.1247123467170019,0.12594534799565826,
min,2019,1464.0,15474000.0,713522.0,124.0,2.3,1.9,0.0,0.0,4475.19,528.14,0.42,0.018132997343122983,0.018132997343123007,0.03136619562046891,0.9149999999999949,0.018132997343123035,0.031366195620468974,0.10318058485560751,1.0,-0.7931633504052172,-0.7969064943630761,-0.4889676232483178,-0.7393920562102048,0.26608279111337874,0.4719497857022865,
25%,2019,8578.0,105027000.0,8785760.0,925.5,4.7,3.9,0.0,0.5,9123.119999999999,7164.975,3.14,0.2544921722458911,0.2544921722458908,0.37867595374414154,0.9900000000000012,0.254711373405631,0.37689536391636663,0.7067509271976219,723.5,-0.15423272352434714,-0.08143746793636225,-0.14165786512464518,-0.13582171386819042,0.44164895742536986,0.6957041979709004,
50%,2019,17873.0,252055000.0,16949939.0,1915.0,5.4,4.4,0.3,1.8,13970.42,8739.74,6.51,0.4319465353928203,0.4319465353928253,0.5203338188687867,0.997,0.4329542455324722,0.5181639993831734,0.8425726410658123,1446.0,-0.07226609202654843,-0.004974271695135535,0.0,0.0,0.5145892386511437,0.847089997026029,
75%,2019,36238.0,775941500.0,33664431.5,3870.0,6.2,5.05,1.0,3.9,27739.629999999997,11550.67,10.95,0.5780971812367677,0.5780971812367633,0.6565981324116897,1.0,0.5810649345601455,0.6549622207137246,0.981212947955366,2168.5,0.022897446193245408,0.04665043610150599,0.13626431354290303,0.13864030688955364,0.6422916175672636,0.9198519740524917,
max,2019,12252023.0,763597808000.0,11831675975.0,458176.0,9.4,7.8,8.5,23.2,465097.46,67806.27,41.61,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2891.0,3.947363138943852,3.581291480759857,0.4796661811312133,0.1574273589341877,0.7460901567233167,0.9863706496718438,
year,2019,,,,,,,,,,,,,,,,,,,,,,,,,,
population,2019,1.0,0.9669529475494922,0.9690710343413486,0.9296071104466802,0.04112447472296329,0.03531863634738572,-0.014868783155402973,-0.043689929090954024,0.07144286087045562,0.10582347851376395,-0.13395518932776382,-0.12176207239838403,-0.12171060793989526,-0.13851116782125572,0.011602742035970394,-0.1218357534774505,-0.1381216168512673,-0.019551487382007474,0.1352753172190422,-0.04168259481108058,0.057804045409774595,-0.13851116782125575,-0.01955148738200674,-0.04715927049061376,-0.06429295935831345,
gdp,2019,0.9669529475494922,1.0,0.9905403537215416,0.8703040708493455,0.04958551809107012,0.04461360960343091,-0.02660958608071102,-0.04702912679788439,0.12738891119202914,0.14094591607016596,-0.11536904719261613,-0.12805036765616462,-0.12796613959666042,-0.13715366177271685,0.024749206052175184,-0.12811559303259293,-0.1367450202467585,-0.04809842730076718,0.12897976209050716,-0.038978330425710236,0.04912044075047419,-0.13715366177271693,-0.048098427300766536,-0.06296620421789284,-0.0838453006549603,
education_spending,2019,0.9690710343413486,0.9905403537215416,1.0,0.8676512684206636,0.04134367366997992,0.03864327980311074,-0.01464699939703163,-0.03772007591770711,0.09767708546003995,0.12447011626185848,-0.10709396477567058,-0.11679118292462351,-0.1167397817331802,-0.13067003659258372,0.011574929810156028,-0.11674225727785612,-0.1304174627542334,-0.029600779587862083,0.1239841839419953,-0.040904342854197924,0.051260434333051615,-0.13067003659258383,-0.02960077958786147,-0.046795837078871,-0.06805124874465178,
