id_municipio,sigla_uf,ano,populacao,nome,pib,gastos_educacao,quantidade_matricula,ideb_iniciais,ideb_finais,taxa_abandono_ef_anos_iniciais,taxa_abandono_ef_anos_finais,pib_per_capita,gasto_por_aluno
1100403,RO,2017,20916,Alto Paraíso,307459000,12580951,1994,5.8,,0.6,2.5,14699.7,6309.4
1100403,RO,2019,21428,Alto Paraíso,358407000,15998249,1295,4.5,,0.6,2.8,16726.11,12353.86
1100452,RO,2017,39044,Buritis,649985000,24741162,3775,5.6,,0.4,3.6,16647.5,6553.95
1100452,RO,2019,39654,Buritis,726351000,21399729,2593,5.5,,0.2,,18317.22,8252.88
1100502,RO,2017,10051,Novo Horizonte do Oeste,167453000,5446007,724,5.5,5.0,0.0,0.0,16660.33,7522.11
1100502,RO,2019,8538,Novo Horizonte do Oeste,165527000,7527077,643,6.6,,0.0,,19387.09,11706.19
1100601,RO,2017,6460,Cacaulândia,139924000,5781428,605,5.8,,0.0,0.0,21660.06,9556.08
1100601,RO,2019,6230,Cacaulândia,144465000,6261575,538,5.1,,0.0,0.9,23188.6,11638.62
1100700,RO,2017,14484,Campo Novo de Rondônia,266520000,12055684,1607,5.3,,0.2,2.2,18400.99,7501.98
1100700,RO,2019,14139,Campo Novo de Rondônia,274661000,11821591,1238,5.3,,0.3,0.6,19425.77,9548.94
1100809,RO,2017,25266,Candeias do Jamari,491350000,16144750,2692,4.1,,2.4,7.2,19447.08,5997.31
1100809,RO,2019,26693,Candeias do Jamari,548064000,20023528,2278,4.7,,1.5,12.9,20532.12,8789.96
1100908,RO,2017,3550,Castanheiras,110916000,3037893,519,,,0.0,2.3,31243.94,5853.36
1100908,RO,2019,3052,Castanheiras,103993000,4039688,458,,,0.0,0.7,34073.72,8820.28
1100924,RO,2017,10593,Chupinguaia,279877000,11703681,1330,5.2,,0.2,1.0,26420.94,8799.76
1100924,RO,2019,11182,Chupinguaia,304810000,14282728,1077,4.6,,0.0,2.3,27258.99,13261.59
1100940,RO,2017,22443,Cujubim,324735000,15899389,2617,4.5,3.9,0.9,7.5,14469.32,6075.43
1100940,RO,2019,25215,Cujubim,385069000,17240110,2120,4.2,,2.5,3.3,15271.43,8132.13
1101005,RO,2017,9745,Governador Jorge Teixeira,178524000,7452067,1121,5.5,,0.7,7.9,18319.55,6647.7
1101005,RO,2019,7767,Governador Jorge Teixeira,177942000,8261759,946,5.2,,0.5,1.8,22910.0,8733.36
1101104,RO,2017,10310,Itapuã do Oeste,158293000,8893109,1181,4.8,,1.4,,15353.35,7530.15
1101104,RO,2019,10458,Itapuã do Oeste,184657000,12530952,937,5.0,,0.2,,17657.01,13373.48
1101302,RO,2017,12258,Mirante da Serra,205082000,7109186,971,5.4,,0.6,1.7,16730.46,7321.51
1101302,RO,2019,10947,Mirante da Serra,216961000,7754425,857,5.1,,0.1,0.0,19819.22,9048.34
1101401,RO,2017,16186,Monte Negro,267804000,10851227,1455,4.7,,0.1,0.6,16545.41,7457.89
1101401,RO,2019,15852,Monte Negro,291812000,14226249,1387,4.7,,0.1,0.7,18408.53,10256.85
1101435,RO,2017,7769,Nova União,121147000,5351134,898,5.4,5.1,0.5,0.4,15593.64,5958.95
1101435,RO,2019,6970,Nova União,117350000,5775332,720,5.5,,0.0,0.0,16836.44,8021.29
1101468,RO,2017,2410,Pimenteiras do Oeste,99367000,3812115,272,6.3,,0.4,,41231.12,14015.13
1101468,RO,2019,2169,Pimenteiras do Oeste,116514000,5182074,238,5.0,,0.0,,53717.84,21773.42
1101476,RO,2017,3411,Primavera de Rondônia,62900000,3579045,362,5.1,,0.3,,18440.34,9886.86
1101476,RO,2019,2856,Primavera de Rondônia,61854000,5194922,292,5.6,,0.4,,21657.56,17790.83
1101484,RO,2017,5994,São Felipe D'Oeste,87273000,4764001,455,5.8,,0.0,0.0,14560.06,10470.33
1101484,RO,2019,5172,São Felipe D'Oeste,89254000,6813974,389,5.5,,0.0,,17257.15,17516.64
1101492,RO,2017,19694,São Francisco do Guaporé,335648000,14187372,2242,5.5,,0.4,0.6,17043.16,6328.0
1101492,RO,2019,20266,São Francisco do Guaporé,353339000,14773363,1951,5.4,,0.1,0.2,17435.06,7572.2
1101500,RO,2017,12653,Seringueiras,232724000,10883856,1380,5.4,,0.0,0.3,18392.79,7886.85
1101500,RO,2019,11856,Seringueiras,236261000,13724776,1012,4.8,,0.0,0.0,19927.55,13562.03
1101609,RO,2017,11350,Theobroma,185034000,9649276,1178,,,0.0,1.9,16302.56,8191.24
1101609,RO,2019,10444,Theobroma,191524000,10701888,981,,,0.7,2.5,18338.18,10909.16
1101757,RO,2017,11149,Vale do Anari,143303000,7860588,1210,5.6,,0.6,3.9,12853.44,6496.35
1101757,RO,2019,11204,Vale do Anari,166804000,8062417,1017,5.0,,0.5,3.7,14887.9,7927.65
1200013,AC,2017,14366,Acrelândia,229644000,11751580,1466,5.4,,1.5,5.0,15985.24,8016.08
1200013,AC,2019,15256,Acrelândia,253152000,12127058,1412,5.6,,0.6,2.7,16593.6,8588.57
1200054,AC,2017,6986,Assis Brasil,91743000,6037921,1089,4.9,,2.5,,13132.41,5544.46
1200054,AC,2019,7417,Assis Brasil,92705000,7496279,1104,5.0,,3.4,,12498.99,6790.11
1200104,AC,2017,24765,Brasiléia,388018000,15951223,2170,5.9,,0.9,,15668.0,7350.79
1200104,AC,2019,26278,Brasiléia,454009000,19096945,2119,6.3,,0.4,,17277.15,9012.24
1200138,AC,2017,9664,Bujari,158301000,6891376,1194,4.6,,2.9,9.0,16380.48,5771.67
1200138,AC,2019,10266,Bujari,159100000,8928039,1255,4.6,,1.0,9.7,15497.76,7113.98
1200179,AC,2017,11136,Capixaba,170990000,10009865,1604,4.2,4.0,2.5,3.2,15354.71,6240.56
1200179,AC,2019,11733,Capixaba,152806000,9899122,1375,4.6,,1.7,3.4,13023.61,7199.36
1200252,AC,2017,17340,Epitaciolândia,435952000,10800596,1504,5.8,,0.4,,25141.41,7181.25
1200252,AC,2019,18411,Epitaciolândia,422617000,13659273,1614,6.0,,0.2,,22954.59,8462.99
1200302,AC,2017,32360,Feijó,350880000,22532810,3302,5.5,,3.9,11.6,10843.02,6823.99
1200302,AC,2019,34780,Feijó,362490000,,2852,5.2,,3.1,11.9,10422.37,
